"OriginalRelativePath","MovedTo","Size"
"2012 for new products\001\LB-12001側面圖.JPG","_duplicates_exact\2012 for new products\001\LB-12001側面圖.JPG","4947968"
"2012 for new products\001\LB-12001.JPG","_duplicates_exact\2012 for new products\001\LB-12001.JPG","4888871"
"2012 for new products\002\_DSC6924.JPG","_duplicates_exact\2012 for new products\002\_DSC6924.JPG","3664654"
"2012 for new products\002\_DSC6926.JPG","_duplicates_exact\2012 for new products\002\_DSC6926.JPG","3646501"
"2012 for new products\003\UB-12002.JPG","_duplicates_exact\2012 for new products\003\UB-12002.JPG","3628632"
"2012 for new products\003\_DSC6928.JPG","_duplicates_exact\2012 for new products\003\_DSC6928.JPG","3700732"
"2015\SB-15001.JPG","_duplicates_exact\2015\SB-15001.JPG","2121520"
"2013\定型包130114.JPG","_duplicates_exact\2013\定型包130114.JPG","2121520"
"2013\DSC_5624 130114.JPG","_duplicates_exact\2013\DSC_5624 130114.JPG","2121520"
"2013\DSC_5625 定型包.JPG","_duplicates_exact\2013\DSC_5625 定型包.JPG","2470845"
"2013-taipei\SB-13003.JPG","_duplicates_exact\2013-taipei\SB-13003.JPG","5015451"
"2013-taipei\JPE\E-01副本.jpg","_duplicates_exact\2013-taipei\JPE\E-01副本.jpg","1018158"
"2013-taipei\JPE\UB-13001.jpg","_duplicates_exact\2013-taipei\JPE\UB-13001.jpg","1018158"
"2013-taipei\JPE\SB-003.jpg","_duplicates_exact\2013-taipei\JPE\SB-003.jpg","859483"
"2013-taipei\JPE\LB-12001C.jpg","_duplicates_exact\2013-taipei\JPE\LB-12001C.jpg","553594"
"2013-taipei\JPE\LB-13002L.jpg","_duplicates_exact\2013-taipei\JPE\LB-13002L.jpg","1026363"
"2013-taipei\JPE\LB-13001L.jpg","_duplicates_exact\2013-taipei\JPE\LB-13001L.jpg","886366"
"2013-taipei\JPE\LB-13001S.jpg","_duplicates_exact\2013-taipei\JPE\LB-13001S.jpg","1055385"
"2013-taipei\JPE\LB-13002S.jpg","_duplicates_exact\2013-taipei\JPE\LB-13002S.jpg","1116500"
"2013-taipei\JPE\SB-13001.jpg","_duplicates_exact\2013-taipei\JPE\SB-13001.jpg","1190542"
"2013-taipei\JPE\SB-13002.jpg","_duplicates_exact\2013-taipei\JPE\SB-13002.jpg","1372562"
