"Distance","FileA","FileB","SizeA","SizeB","DimensionsA","DimensionsB"
"0","001\_DSC6930.JPG","2012 for new products\001\LB-12001.JPG","4888871","4888871","4288x2848","4288x2848"
"0","001\DSC01372.JPG","2012 for new products\001\LB-12001側面圖.JPG","4947968","4947968","6000x3376","6000x3376"
"0","002\_DSC6924.JPG","2012 for new products\002\_DSC6924.JPG","3664654","3664654","4288x2848","4288x2848"
"0","002\_DSC6926.JPG","2012 for new products\002\_DSC6926.JPG","3646501","3646501","4288x2848","4288x2848"
"0","003\_DSC6927.JPG","2012 for new products\003\UB-12002.JPG","3628632","3628632","4288x2848","4288x2848"
"0","003\_DSC6928.JPG","2012 for new products\003\_DSC6928.JPG","3700732","3700732","4288x2848","4288x2848"
"0","2012 for new products\SB-12004B.JPG","2012 for new products\上傳檔案for www\SB-12004B.JPG","5073595","109222","3810x2382","767x480"
"0","2012 for new products\SB-12004M側面圖.JPG","2012 for new products\上傳檔案for www\SB-12004M側面圖.JPG","4744112","95914","3672x2442","640x425"
"0","2013\DSC_5624 130114.JPG","2013\SB-15001.JPG","2121520","2121520","3902x3694","3902x3694"
"0","2013\DSC_5624 130114.JPG","2013\定型包130114.JPG","2121520","2121520","3902x3694","3902x3694"
"0","2013\DSC_5624 130114.JPG","2015\SB-15001.JPG","2121520","2121520","3902x3694","3902x3694"
"0","2013\DSC_5625 定型包.JPG","2013\DSC_5625.JPG","2470845","2470845","5238x3454","5238x3454"
"0","2013\SB-13003.JPG","2013-taipei\SB-13003.JPG","5015451","5015451","6574x4374","6574x4374"
"0","2013\SB-15001.JPG","2013\定型包130114.JPG","2121520","2121520","3902x3694","3902x3694"
"0","2013\SB-15001.JPG","2015\SB-15001.JPG","2121520","2121520","3902x3694","3902x3694"
"0","2013\定型包130114.JPG","2015\SB-15001.JPG","2121520","2121520","3902x3694","3902x3694"
"0","2013-taipei\JPE\A-01副本.jpg","2013-taipei\JPE\SB-003.jpg","859483","859483","1181x855","1181x855"
"0","2013-taipei\JPE\AA-03副本.jpg","2013-taipei\JPE\LB-12001C.jpg","553594","553594","1181x1181","1181x1181"
"0","2013-taipei\JPE\E-01副本.jpg","2013-taipei\JPE\UB-13001.jpg","1018158","1018158","1181x936","1181x936"
"0","2013-taipei\JPE\F-01副本.jpg","alpha-one pic 舊照片\BLT-001.jpg","882052","756655","1209x827","1209x827"
"0","2013-taipei\JPE\L-01副本.jpg","2013-taipei\JPE\LB-13002L.jpg","1026363","1026363","1181x876","1181x876"
"0","2013-taipei\JPE\LB-13001L.jpg","2013-taipei\JPE\V-01副本.jpg","886366","886366","1181x777","1181x777"
"0","2013-taipei\JPE\LB-13001S.jpg","2013-taipei\JPE\U-01副本.jpg","1055385","1055385","1181x954","1181x954"
"0","2013-taipei\JPE\LB-13002S.jpg","2013-taipei\JPE\Y-01副本.jpg","1116500","1116500","1181x959","1181x959"
"0","2013-taipei\JPE\O-01副本.jpg","2013-taipei\JPE\SB-13001.jpg","1190542","1190542","1181x844","1181x844"
"0","2013-taipei\JPE\Q-01副本.jpg","2013-taipei\JPE\SB-13002.jpg","1372562","1372562","1181x897","1181x897"
"0","2013-taipei\UB-13001.jpg","2013-taipei\JPE\E-01副本.jpg","1018158","1018158","1181x936","1181x936"
"0","2013-taipei\UB-13001.jpg","2013-taipei\JPE\UB-13001.jpg","1018158","1018158","1181x936","1181x936"
"1","001\_DSC6930.JPG","2012 for new products\上傳檔案for www\LB-12001.JPG","4888871","112301","4288x2848","721x480"
"1","2012 for new products\001\LB-12001.JPG","2012 for new products\上傳檔案for www\LB-12001.JPG","4888871","112301","4288x2848","721x480"
"1","2012 for new products\SB-12004S.JPG","2012 for new products\上傳檔案for www\SB-12004S.JPG","4350833","100102","3606x2430","712x480"
"2","003\_DSC6927.JPG","2012 for new products\上傳檔案for www\UB-12002.JPG","3628632","95948","4288x2848","722x480"
"2","2012 for new products\003\UB-12002.JPG","2012 for new products\上傳檔案for www\UB-12002.JPG","3628632","95948","4288x2848","722x480"
"2","2017\OT-17012 28x24x9.jpg","2017\OT-17021.jpg","50256","59911","1200x819","1200x789"
"3","2012 for new products\SB-12006.JPG","2012 for new products\上傳檔案for www\SB-12006.JPG","5132629","85374","3018x2778","521x480"
"3","2017\mmexport1498046634799.jpg","2017\OT-17012 28x24x9.jpg","66897","50256","1200x851","1200x819"
"3","2017\mmexport1498046634799.jpg","2017\OT-17021.jpg","66897","59911","1200x851","1200x789"
"4","alpha-one pic 舊照片\OG-001.jpg","alpha-one pic 舊照片\OG-001honey.jpg","422611","355586","2700x1793","2700x1793"
"5","2016\MB-16001-DW.jpg","alpha-one pic 舊照片\UB-001.JPG","1893258","114827","7373x4921","2710x1800"
"5","alpha-one pic 舊照片\BB-001.JPG","alpha-one pic 舊照片\LB-002B.JPG","338775","147793","2710x1800","2700x1793"
"5","alpha-one pic 舊照片\LB-002.JPG","alpha-one pic 舊照片\LB-002B.JPG","213585","147793","2700x1793","2700x1793"
"5","alpha-one pic 舊照片\OG-001.jpg","alpha-one pic 舊照片\OG-001black.jpg","422611","349810","2700x1793","2700x1793"
"5","alpha-one pic 舊照片\SB-001.JPG","alpha-one pic 舊照片\SB-005.JPG","127195","490044","2700x1793","2700x1793"
"5","alpha-one新照片\曲線甜甜圈.JPG","alpha-one新照片\甜甜圈1 (2).JPG","861329","882871","4592x2576","4592x2576"
